# BEAST v10.5.0
# Generated Mon Jan 19 16:15:08 CET 2026 [seed=1768835686400]
# -window -working -options
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	pInv	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
43000	-16834.353408740113	-136.68299753662842	-16697.670411203486	9.544661876373212	2016.2115025071882	48.285008777292425	3.470453550679329	20.83697344991368	0.27731790090963593	0.21992927221776198	0.2826360128619323	0.22011681401066988	0.05068837700879623	0.7049850434326678	5.298929995809143E-4	5.29892999580914E-4	-16697.670411203486	0.0	-130.5117009571323
44000	-16836.070685628947	-136.91892511332708	-16699.15176051562	10.615491231082931	2015.1406731524787	51.659516241051925	3.5994101300402943	25.743805435483928	0.26830966406428614	0.23113854332867045	0.28163720389051894	0.21891458871652458	0.0706329116077448	0.6898565470848222	4.942001206690378E-4	4.94200120669038E-4	-16699.15176051562	0.0	-130.23844125196723
45000	-16829.30800907128	-138.4917519378053	-16690.816257133472	11.71568693644338	2014.040477447118	55.38094938143033	3.5468540294967963	18.694537587585575	0.2640418951926995	0.2296785902029899	0.2838306573156215	0.2224488572886892	0.08718468375579087	0.9256898555267484	4.7733713865848106E-4	4.77337138658481E-4	-16690.816257133472	0.0	-132.591724180109
46000	-16831.20837376289	-143.23890151097837	-16687.969472251913	11.217696390009653	2014.5384679935519	55.500594292719505	3.6992708924208113	27.177862402462264	0.26635084759438077	0.22913648284899368	0.28400654171338136	0.22050612784324428	0.14093800670418097	0.7687796163476923	4.6949412939513023E-4	4.694941293951306E-4	-16687.969472251913	0.0	-136.31819717355958
47000	-16831.34042430529	-136.3760247464896	-16694.9643995588	9.926273682992832	2015.8298907005687	51.40441442887061	4.013183299572458	22.98083222222979	0.27376502013430637	0.22731000541742327	0.2803605958987299	0.2185643785495405	0.07210973957165878	0.8180127945722697	5.17324640028919E-4	5.173246400289193E-4	-16694.9643995588	0.0	-129.82983050213574
48000	-16841.875287306757	-140.68061865209492	-16701.19466865466	10.371627423019302	2015.3845369605422	54.611040282414336	4.337945355414508	20.98677864801611	0.2688305112070731	0.23218778203946697	0.28041687371784296	0.21856483303561708	0.08932695866967691	0.9309090170983565	5.155320318908771E-4	5.155320318908772E-4	-16701.19466865466	0.0	-134.26449446230794
49000	-16843.813863606327	-138.90119694115882	-16704.91266666517	12.377762202198133	2013.3784021813635	58.85438693465597	4.541626948515785	16.08260175080636	0.2619997949042357	0.23599118266272315	0.27979577641180137	0.22221324602123993	0.2945096802350593	0.585858957462918	4.6508276612008265E-4	4.6508276612008243E-4	-16704.91266666517	0.0	-132.7099946529639
50000	-16858.32970600905	-144.54222689009524	-16713.787479118957	12.868568838241888	2012.8875955453198	60.645918741483825	4.444838919553523	21.50162260436638	0.2660694926639777	0.23312839842086275	0.2750724661862033	0.22572964272895638	0.28716081611280775	0.33123263639088635	4.567964940487156E-4	4.5679649404871576E-4	-16713.787479118957	0.0	-137.76322309897895
51000	-16847.608944309915	-150.90664494722714	-16696.70229936269	11.398067741093621	2014.358096642468	60.17210146917611	5.341803522446116	36.67178436255007	0.280212780854707	0.22922688668515318	0.27667367739228427	0.21388665506785567	0.407198416304663	0.8263626014485266	4.285367255375587E-4	4.285367255375586E-4	-16696.70229936269	0.0	-142.40122738672514
52000	-16857.564870210572	-148.01169270838835	-16709.553177502185	11.78226370103534	2013.9739006825262	60.151045943929525	4.371951215859216	19.73511109500326	0.27140286025232396	0.2286165657927853	0.27918553173732985	0.22079504221756105	0.24087007517551562	0.9494057990479612	4.5113053429410906E-4	4.511305342941089E-4	-16709.553177502185	0.0	-141.54142011953564
53000	-16849.09296928628	-145.65356489532581	-16703.439404390956	11.970966944244063	2013.7851974393175	59.612427137731835	4.6818959109687235	22.25538815622125	0.2767434309818688	0.23034235332690356	0.27918553173732985	0.21372868395389788	0.25022549334850974	0.8412319825725822	4.4018561996679356E-4	4.4018561996679367E-4	-16703.439404390956	0.0	-138.8272347167178
54000	-16839.846810984884	-138.6361676680274	-16701.210643316856	10.768930861864611	2014.987233521697	54.24571869485873	4.677001235484375	19.658134662942537	0.27193192888953055	0.22870129156509747	0.2836193566133847	0.21574742293198734	0.15537134766470975	0.5322875521162356	4.8823731862728236E-4	4.882373186272821E-4	-16701.210643316856	0.0	-132.1875301536539
55000	-16836.083097223644	-129.72855743629543	-16706.35453978735	10.995399356960258	2014.7607650266013	50.907416247919656	3.6989449091252435	21.756265883396654	0.2726439103189082	0.23291980781453292	0.275457829664137	0.218978452202422	0.24139685175569497	0.9851151473096241	5.425905956308817E-4	5.42590595630882E-4	-16706.35453978735	0.0	-123.0244392798754
56000	-16831.240536678502	-139.85706183663072	-16691.38347484187	10.440277875689674	2015.315886507872	53.132006994510135	4.777148722452492	16.588146280107768	0.27006835640020055	0.2268807640005765	0.28384875314614516	0.21920212645307796	0.16290418086522848	0.9820655439231123	5.417520046159054E-4	5.417520046159054E-4	-16691.38347484187	0.0	-133.6830042712529
57000	-16835.50955116454	-140.5017341190901	-16695.00781704545	10.893497395803827	2014.8626669877576	55.3314171843281	4.826784302437863	19.257072334865455	0.2676471340838882	0.23071489577518106	0.28106694469654325	0.22057102544438764	0.1949460259436912	0.8809240392369848	5.121024758398189E-4	5.121024758398191E-4	-16695.00781704545	0.0	-133.97307948004337
