# BEAST v10.5.0
# Generated Tue Jan 20 11:25:10 CET 2026 [seed=1768904692127]
# -window -working -options
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
10000	-16838.702536155564	-139.13316836705226	-16699.569367788514	9.798653670490703	2015.9575107130709	49.23804684757571	4.211631330222486	0.017500497928921055	15.04786040988285	0.26970386479640873	0.22909611307130218	0.2755376886105641	0.225662333521725	0.009002446055383893	5.40050170959866E-4	5.40050170959866E-4	-16699.569367788514	0.0	-128.26778601936738
11000	-16828.58859175255	-139.63483632169869	-16688.953755430848	8.914144814752976	2016.8420195688086	46.58175888973178	4.250926932514391	0.0706136101161483	24.92877523480179	0.268800872313441	0.22725575067322298	0.2840284223140473	0.21991495469928868	0.005500769991029073	5.584100533576162E-4	5.58410053357616E-4	-16688.953755430848	0.0	-127.58357972212093
12000	-16834.99488709526	-136.09664001206693	-16698.898247083194	9.266971220641674	2016.48919316292	46.77421888324246	4.783101501259877	0.07610308940524901	19.443519572725446	0.2710631155915806	0.2290174433649692	0.2820873646827791	0.21783207636067103	0.003660483341168684	5.741359507319028E-4	5.741359507319028E-4	-16698.898247083194	0.0	-124.49917068198212
13000	-16833.428150944914	-134.23284067868582	-16699.195310266226	8.67601175386855	2017.080152629693	45.724343566910804	4.542462977564051	0.09566061921306335	17.184663441482137	0.2683379658127245	0.22993555252808473	0.2809260846579849	0.2208003970012058	0.00409401679854656	6.116479027248437E-4	6.11647902724844E-4	-16699.195310266226	0.0	-122.91613309851874
14000	-16830.998404581896	-132.7753443001908	-16698.223060281707	9.692145658583858	2016.0640187249776	47.22735292496738	2.920223999925016	-0.0350660430005143	27.645064472766517	0.26754997285597987	0.22330535286413428	0.2867782323752048	0.22236644190468108	0.003059603297631417	5.836939157896963E-4	5.836939157896964E-4	-16698.223060281707	0.0	-120.8354138430615
15000	-16826.33069373823	-127.66903134208707	-16698.66166239614	10.3878333792282	2015.3683310043334	46.685791070265836	3.122384701073104	0.04794290773684717	13.006098466863163	0.27023116447325424	0.2288643421873875	0.27969428566384913	0.22121020767550909	0.003857630012865939	5.822140939697475E-4	5.822140939697473E-4	-16698.66166239614	0.0	-117.34759696060644
16000	-16835.264159652954	-129.90229855699286	-16705.36186109596	10.211653255163135	2015.5445111283984	47.22912360569935	2.7815080192033927	-0.03891306937361061	22.02344184429717	0.2743688570647574	0.22372116562396607	0.2721978397442414	0.2297121375670351	0.013606110429828051	5.075540412664208E-4	5.075540412664208E-4	-16705.36186109596	0.0	-118.61176905081015
17000	-16825.060277747558	-135.143170482948	-16689.91710726461	9.355942559723093	2016.4002218238384	46.069275594825186	2.753177623902328	-0.1653949175983347	24.82554982542542	0.26915933007932485	0.23235215249486205	0.27372078747201556	0.2247677299537975	0.005905356177798805	5.738881753345373E-4	5.73888175334537E-4	-16689.91710726461	0.0	-123.51600162605502
18000	-16827.189184164865	-132.3671508545282	-16694.822033310338	10.178052343321971	2015.5781120402396	46.9664630993972	2.349141980620906	-0.16267506511673568	22.193529477412437	0.27156564902577646	0.23596192871891894	0.27581067875353704	0.21666174350176748	0.010172881427365155	5.527524382010901E-4	5.527524382010899E-4	-16694.822033310338	0.0	-121.1860119078
19000	-16839.897250292543	-136.28360193310803	-16703.613648359435	8.615410427815926	2017.1407539557456	44.31916519820459	3.180394996887073	-0.05162935541237301	16.835713511833447	0.2704115732889479	0.23648943309599244	0.2758707626913791	0.21722823092368052	0.017601886568347522	6.575518551398655E-4	6.575518551398654E-4	-16703.613648359435	0.0	-125.28941461364352
